2025/09/21 06:08:05.193833 ======================================
2025/09/22 05:58:19.550366 tick, direction = left
2025/09/22 05:58:19.674989 tick, direction = right
2025/09/22 05:58:19.800548 tick, direction = right
2025/09/22 05:58:19.924812 tick, direction = up
2025/09/22 05:58:20.050049 tick, direction = up
2025/09/22 05:58:20.175822 tick, direction = left
2025/09/22 05:58:20.299996 tick, direction = left
2025/09/22 05:58:20.424704 tick, direction = left
2025/09/22 05:58:20.550073 tick, direction = down
2025/09/22 05:58:20.675022 tick, direction = down
2025/09/22 05:58:20.800055 tick, direction = right
2025/09/22 05:58:20.925703 tick, direction = right
2025/09/22 05:58:21.049783 tick, direction = up
2025/09/22 05:58:21.174767 tick, direction = up
2025/09/22 05:58:21.300405 tick, direction = up
2025/09/22 05:58:21.427315 tick, direction = up
2025/09/22 05:58:21.551177 tick, direction = up
2025/09/22 05:58:21.675893 tick, direction = up
2025/09/22 05:58:21.800276 tick, direction = up
2025/09/22 05:58:21.925243 tick, direction = up
2025/09/22 05:58:22.050891 tick, direction = up
2025/09/22 05:58:22.175263 tick, direction = up
2025/09/22 05:58:22.300743 tick, direction = up
2025/09/22 05:58:22.424762 tick, direction = up
2025/09/22 05:58:22.555357 tick, direction = up
2025/09/22 05:58:22.675515 tick, direction = up
2025/09/22 05:58:22.800043 tick, direction = up
2025/09/22 05:58:22.925034 tick, direction = up
2025/09/22 05:58:23.049892 tick, direction = up
2025/09/22 05:58:23.175562 tick, direction = up
2025/09/22 05:58:23.237993 Ok lady, I love you buhbye!
